code,description,type,parent,is_billable
00,Procedure ed interventi non classificati altrove,chapter,,0
00.0,Via di approccio,block,00,0
00.00,Via di approccio singola per procedura chirurgica o interventistica,category,00.0,0
00.00.0A,Approccio artroscopico,procedura,00.00,1
00.00.0B,Approccio endovascolare con accesso percutaneo,procedura,00.00,1
00.00.0C,Approccio a cielo aperto,procedura,00.00,1
00.00.0K,Approccio ab-esterno,procedura,00.00,1
00.00.0M,Approccio mininvasivo video-assistito,procedura,00.00,1
00.00.0N,Approccio endoscopico [da orifizio naturale],procedura,00.00,1
00.00.0P,Approccio percutaneo [alla cieca],procedura,00.00,1
00.00.0S,Approccio laparoscopico,procedura,00.00,1
00.00.0T,Approccio mediante foro di trapano,procedura,00.00,1
00.00.0Y,Approccio endoscopico cerebrale [neuro-endoscopico],procedura,00.00,1
00.00.1C,Approccio mediante craniotomia,procedura,00.00,1
00.00.1N,Approccio a guida eco-endoscopica,procedura,00.00,1
00.00.1P,Approccio percutaneo a guida ecografica,procedura,00.00,1
00.00.1S,Approccio toracoscopico,procedura,00.00,1
00.00.1Y,Approccio endoscopico endonasale/trans-sfenoidale [neuro-endoscopico],procedura,00.00,1
00.00.2C,Approccio mediante cervicotomia,procedura,00.00,1
00.00.2N,Approccio mediante enteroscopia motorizzata,procedura,00.00,1
00.00.2P,Approccio percutaneo a guida TC,procedura,00.00,1
00.00.2S,Approccio mediastinoscopico,procedura,00.00,1
00.00.2Y,Approccio endoscopico spinale [neuro-endoscopico],procedura,00.00,1
00.00.3C,Approccio mediante toracotomia,procedura,00.00,1
00.00.3P,Approccio percutaneo a guida RM,procedura,00.00,1
00.00.4C,Approccio mediante sternotomia completa,procedura,00.00,1
00.00.5C,Approccio mediante sternotomia parziale,procedura,00.00,1
00.00.6C,Approccio mediante laparotomia,procedura,00.00,1
00.00.7C,Approccio chirurgico alla base del cranio,procedura,00.00,1
00.00.ZP,Altro approccio percutaneo,procedura,00.00,1
00.01,Via di approccio combinata per procedura chirurgica o interventistica,category,00.0,0
00.01.0D,Approccio endovascolare con accesso chirurgico a cielo aperto,procedura,00.01,1
00.01.0E,Approccio combinato endoscopico/endoluminale e laparoscopico/toracoscopico,procedura,00.01,1
00.01.0F,Approccio combinato endoscopico/endoluminale e chirurgico a cielo aperto,procedura,00.01,1
00.01.0G,Approccio endoscopico-percutaneo,procedura,00.01,1
00.01.Z0,"Altre vie di approccio combinate, per procedura chirurgica o interventistica",procedura,00.01,1
00.02,Approccio da remoto,category,00.0,0
00.02.00,Procedura erogata in telemedicina,procedura,00.02,1
00.3,Chirurgia computer-assistita[CAS],block,00,0
00.31,Chirurgia computer-assistita con CT/CTA,category,00.3,0
00.31.0W,Chirurgia computer-assistita con TC,procedura,00.31,1
00.32,Chirurgia computer-assistita con MR/MRA,category,00.3,0
00.32.0W,Chirurgia computer-assistita con RM,procedura,00.32,1
00.33,Chirurgia computer-assistita con fluoroscopia,category,00.3,0
00.33.0W,Chirurgia computer-assistita con fluoroscopia,procedura,00.33,1
00.34,Chirurgia computer-assistita senza immagini,category,00.3,0
00.34.0W,Chirurgia computer-assistita senza immagini,procedura,00.34,1
00.35,Chirurgia computer-assistita con dataset multipli,category,00.3,0
00.35.0W,Chirurgia computer-assistita con dataset multipli,procedura,00.35,1
00.36,Chirurgia computer-assistita con microscopia,category,00.3,0
00.36.0W,Chirurgia computer-assistita con microscopia [digitale],procedura,00.36,1
00.37,Chirurgia computer-assistita con realtà aumentata,category,00.3,0
00.37.0W,Chirurgia computer-assistita con realtà aumentata,procedura,00.37,1
00.3Z.0W,Altra chirurgia computer-assistita,procedura,00.3Z,1
00.9,Altre procedure ed interventi,block,00,0
00.91,"Trapianto da donatore parente, vivente",category,00.9,0
00.91.0W,"Trapianto da donatore consanguineo compatibile, vivente",procedura,00.91,1
00.91.1W,"Trapianto da donatore consanguineo non compatibile, vivente",procedura,00.91,1
00.91.ZW,"Altro trapianto da donatore parente, vivente",procedura,00.91,1
00.92,"Trapianto da donatore non-parente, vivente",category,00.9,0
00.92.0W,"Trapianto da donatore non consanguineo compatibile, vivente",procedura,00.92,1
00.92.1W,"Trapianto da donatore non consanguineo non compatibile, vivente",procedura,00.92,1
00.92.ZW,"Altro trapianto da donatore non-parente, vivente",procedura,00.92,1
00.93,Trapianto da cadavere,category,00.9,0
00.93.0W,Trapianto da paziente in morte cerebrale,procedura,00.93,1
00.93.1W,Trapianto da paziente a cuore fermo,procedura,00.93,1
