icd9_code,cipi_code
00.01,39.99.20
00.02,37.X0.00
00.03,39.99.30
00.09,00.UZ.10
00.09,00.UZ.20
00.09,84.95.00
00.10,00.F0.10
00.11,00.F0.20
00.12,00.F0.30
00.13,00.F0.40
00.14,00.F0.50
00.15,00.F0.60
00.16,00.F0.70
00.17,00.F0.80
00.18,00.F0.90
00.21,38.23.0B
00.21,38.23.ZB
00.22,38.24.0B
00.22,38.24.1B
00.22,38.24.2B
00.22,38.24.ZB
00.22,38.25.4B
00.23,38.25.1B
00.23,38.25.2B
00.23,38.25.3B
00.23,38.25.ZB
00.24,36.51.1B
00.24,36.51.2B
00.24,36.51.ZB
00.24,36.52.1B
00.24,36.52.ZB
00.25,38.27.1B
00.25,38.27.2B
00.25,38.27.ZB
00.28,38.28.ZB
00.29,38.28.ZB
00.31,00.31.0W
00.32,00.32.0W
00.33,00.33.0W
00.34,00.34.0W
00.34,00.D0.1W
00.34,00.D1.1W
00.34,00.D2.1W
00.35,00.35.0W
00.35,00.36.0W
00.35,00.37.0W
00.35,00.3Z.0W
00.39,00.R0.1W
00.39,00.R0.2W
00.39,00.R0.ZW
00.39,00.R1.1W
00.39,00.R2.1W
00.39,00.R3.1W
00.39,00.R3.2W
00.39,00.R3.ZW
00.39,00.RZ.0W
00.40,38.60.1W
00.40,38.60.2W
00.40,38.60.3W
00.40,38.60.4W
00.40,38.60.ZW
00.40,39.70.W1
00.40,39.70.W2
00.40,39.70.W3
00.40,39.70.W4
00.40,39.B0.1W
00.40,39.B0.2W
00.40,39.B0.ZW
00.40,39.C0.0W
00.40,39.C9.0W
00.40,39.C9.1W
00.40,39.C9.2W
00.40,39.C9.3W
00.40,39.C9.4W
00.40,39.C9.5W
00.40,39.C9.6W
00.40,39.CA.0W
00.40,39.CA.1W
00.41,39.C1.0W
00.42,39.C2.0W
00.43,39.C3.0W
00.44,39.C4.0W
00.45,39.C5.0W
00.46,39.C6.0W
00.47,39.C7.0W
00.48,39.C8.0W
00.50,37.P3.1D
00.50,37.P3.Z0
00.51,37.D3.1D
00.51,37.D3.3D
00.52,37.D3.2D
00.52,37.E0.1B
00.52,37.E0.2B
00.52,37.P3.2D
00.52,37.P3.3D
00.53,37.P6.10
00.54,37.D6.10
00.55,39.A0.3W
00.55,39.A0.4W
00.55,39.A0.5W
00.55,39.A0.6W
00.55,39.A0.7W
00.56,37.29.10
00.56,37.29.20
00.57,37.29.30
00.57,37.29.40
00.61,39.5A.1B
00.61,39.5A.2B
00.61,39.5A.3B
00.61,39.5A.4B
00.61,39.5A.Z0
00.62,39.5A.5B
00.62,39.5A.6B
00.62,39.5A.7B
00.62,39.5A.Z1
00.63,39.5A.2B
00.64,39.5A.4B
00.65,39.5A.6B
00.65,39.5A.7B
00.66,36.00.0B
00.66,36.05.1B
00.66,36.05.2B
00.66,36.05.3B
00.66,36.05.4B
00.66,36.05.5B
00.66,36.05.6B
00.66,36.05.7B
00.66,36.05.8B
00.66,36.05.ZB
00.70,81.53.20
00.70,81.53.70
00.70,81.53.Z1
00.71,81.53.Z2
00.72,81.53.Z3
00.73,81.53.90
00.74,81.5A.1W
00.75,81.5A.2W
00.76,81.5A.3W
00.77,81.5A.4W
00.80,81.55.10
00.80,81.55.30
00.81,81.55.40
00.82,81.55.50
00.83,81.55.60
00.84,81.55.70
00.85,81.53.A0
00.86,81.53.B0
00.87,81.53.C0
00.87,81.53.D0
00.91,00.91.0W
00.91,00.91.1W
00.91,00.91.ZW
00.92,00.92.0W
00.92,00.92.1W
00.92,00.92.ZW
00.93,00.93.0W
00.93,00.93.1W
00.93,00.93.ZW
01.01,01.01.1T
01.01,01.01.Z0
01.02,01.02.2Y
01.02,01.02.Z0
01.09,01.09.1T
01.09,01.09.2P
01.09,01.09.3P
01.09,01.09.Z0
01.11,01.11.0T
01.11,01.11.1T
01.11,01.11.2T
01.11,01.11.Z0
01.12,01.12.0C
01.13,01.13.1T
01.13,01.13.2T
01.13,01.13.3T
01.13,01.13.3Y
01.13,01.13.Z0
01.13,01.1Z.20
01.14,01.14.0C
01.15,01.15.0C
01.15,01.15.Z0
01.18,01.1Z.00
01.19,01.10.10
01.19,01.10.20
01.19,01.1Z.10
01.21,01.21.0Y
01.21,01.21.1Y
01.22,02.96.1C
01.22,02.96.20
01.22,02.96.30
01.23,01.23.0C
01.24,00.00.0T
01.24,00.00.1C
01.24,00.00.7C
01.24,01.24.1T
01.24,01.24.2C
01.24,01.24.3C
01.24,01.24.4C
01.24,01.24.5C
01.24,01.24.Z0
01.25,01.25.0C
01.25,01.25.1C
01.25,01.25.2C
01.25,01.25.3C
01.25,01.25.4C
01.25,01.25.Z0
01.26,01.26.10
01.26,01.26.Z0
01.26,01.26.Z1
01.27,01.27.00
01.28,01.28.0T
01.28,01.28.10
01.31,01.31.1C
01.31,01.31.1T
01.31,01.31.2T
01.31,01.31.3C
01.31,01.31.4C
01.31,01.31.4T
01.31,01.31.Z0
01.32,01.32.0C
01.32,01.32.0T
01.39,01.39.1C
01.39,01.39.1T
01.39,01.39.1Y
01.39,01.39.2Y
01.39,01.39.3C
01.39,01.39.Z0
01.41,01.41.1C
01.41,01.41.1K
01.41,01.41.1T
01.41,01.41.Z0
01.42,01.42.0C
01.42,01.42.0T
