code,description,type,parent,is_billable,icd9_equiv
I,Alcune malattie infettive e parassitarie,chapter,A00-B99,0,ND
A00-A09,Malattie infettive intestinali,block,I,0,ND
A00,Colera,cat 3,A00-A09,0,ND
A00.0,"Colera da Vibrio cholerae 01, biotipo del colera (+ possibile)",cat 4,A00,1,001.0
A00.1,"Colera da Vibrio cholerae 01, biotipo El Tor (+ possibile)",cat 4,A00,1,001.1
A00.9,"Colera, non specificato (+ possibile)",cat 4,A00,1,001.9
A01,Febbre tifoide e paratifo,cat 3,A00-A09,0,ND
A01.0,Febbre tifoide (+ possibile),cat 4,A01,1,002.0
A01.1,Paratifo A (+ possibile),cat 4,A01,1,002.1
A01.2,Paratifo B (+ possibile),cat 4,A01,1,002.2
A01.3,Paratifo C (+ possibile),cat 4,A01,1,002.3
A01.4,"Paratifo, non specificato (+ possibile)",cat 4,A01,1,002.9
A02,Altre infezioni da salmonella,cat 3,A00-A09,0,ND
A02.0,Enterite da salmonella (+ possibile),cat 4,A02,1,003.0
A02.1,Sepsi da salmonella (+ possibile),cat 4,A02,1,003.1
A02.2,Infezioni localizzate da salmonella (+ possibile),cat 4,A02,1,003.20
A02.8,Altre specificate infezioni da salmonella (+ possibile),cat 4,A02,1,003.8
A02.9,"Infezione da salmonella, non specificata (+ possibile)",cat 4,A02,1,003.9
A03,Shigellosi,cat 3,A00-A09,0,ND
A03.0,Shigellosi da Shigella dysenteriae (+ possibile),cat 4,A03,1,004.0
A03.1,Shigellosi da Shigella flexneri (+ possibile),cat 4,A03,1,004.1
A03.2,Shigellosi da Shigella boydii (+ possibile),cat 4,A03,1,004.2
A03.3,Shigellosi da Shigella sonnei (+ possibile),cat 4,A03,1,004.3
A03.8,Altre shigellosi (+ possibile),cat 4,A03,1,004.8
A03.9,"Shigellosi, non specificata (+ possibile)",cat 4,A03,1,004.9
A04,Altre infezioni batteriche intestinali,cat 3,A00-A09,0,ND
A04.0,Infezione da Escherichia coli enteropatogeno (+ possibile),cat 4,A04,1,008.01
A04.1,Infezione da Escherichia coli enterotossigeno (+ possibile),cat 4,A04,1,008.02
A04.2,Infezione da Escherichia coli enteroinvasivo (+ possibile),cat 4,A04,1,008.03
A04.3,Infezione da Escherichia coli enteroemorragico (+ possibile),cat 4,A04,1,008.04
A04.4,Altre infezioni intestinali da Escherichia coli (+ possibile),cat 4,A04,1,008.09
A04.5,Enterite da Campylobacter (+ possibile),cat 4,A04,1,008.43
A04.6,Enterite da Yersinia enterocolitica (+ possibile),cat 4,A04,1,008.44
A04.7,Enterocolite da Clostridium difficile (+ possibile),cat 4,A04,1,008.45
A04.8,Altre specificate infezioni batteriche intestinali (+ possibile),cat 4,A04,1,008.49
A04.9,"Infezione batterica intestinale, non specificata (+ possibile)",cat 4,A04,1,008.5
A05,"Altre intossicazioni alimentari batteriche, non classificate altrove",cat 3,A00-A09,0,ND
A05.0,Intossicazione alimentare da stafilococco (+ possibile),cat 4,A05,1,005.0
A05.1,Botulismo (+ possibile),cat 4,A05,1,005.1
A05.2,Intossicazione alimentare da Clostridium perfringens [Clostridium welchii] (+ possibile),cat 4,A05,1,005.2
A05.3,Intossicazione alimentare da Vibrio parahaemolyticus (+ possibile),cat 4,A05,1,005.4
A05.4,Intossicazione alimentare da Bacillus cereus (+ possibile),cat 4,A05,1,005.89
A05.8,Altre specificate intossicazioni alimentari batteriche (+ possibile),cat 4,A05,1,005.89
A05.9,"Intossicazione alimentare batterica, non specificata (+ possibile)",cat 4,A05,1,005.9
A06,Amebiasi,cat 3,A00-A09,0,ND
A06.0,Dissenteria amebica acuta (+ possibile),cat 4,A06,1,006.0
A06.1,Amebiasi intestinale cronica (+ possibile),cat 4,A06,1,006.1
A06.2,Colite amebica non dissenterica (+ possibile),cat 4,A06,1,006.2
A06.3,Ameboma dell’intestino (+ possibile),cat 4,A06,1,006.2
A06.4,Ascesso amebico del fegato (+),cat 4,A06,1,006.3
A06.5,Ascesso amebico del polmone (+),cat 4,A06,1,006.4
A06.6,Ascesso amebico dell’encefalo (+),cat 4,A06,1,006.5
A06.7,Amebiasi cutanea (+ possibile),cat 4,A06,1,006.6
A06.8,Infezione amebica di altre sedi (+ possibile),cat 4,A06,1,006.8
A06.9,"Amebiasi, non specificata (+ possibile)",cat 4,A06,1,006.9
A07,Altre malattie intestinali da protozoi,cat 3,A00-A09,0,ND
A07.0,Balantidiasi (+ possibile),cat 4,A07,1,007.0
A07.1,Giardiasi [lambliasi] (+ possibile),cat 4,A07,1,007.1
A07.2,Criptosporidiosi (+ possibile),cat 4,A07,1,007.4
A07.3,Isosporiasi (+ possibile),cat 4,A07,1,007.2
A07.8,Altre specificate malattie intestinali da protozoi (+ possibile),cat 4,A07,1,007.8
A07.9,"Malattia intestinale da protozoi, non specificata (+ possibile)",cat 4,A07,1,007.9
A08,Infezioni virali intestinali e altre specificate infezioni intestinali,cat 3,A00-A09,0,ND
A08.0,Enterite da Rotavirus (+ possibile),cat 4,A08,1,008.61
A08.1,Gastroenteropatia acuta da Norovirus (+ possibile),cat 4,A08,1,008.63
A08.2,Enterite da Adenovirus (+ possibile),cat 4,A08,1,008.62
A08.3,Altre enteriti virali (+ possibile),cat 4,A08,1,008.69
A08.4,"Infezione virale intestinale, non specificata (+ possibile)",cat 4,A08,1,008.8
A08.5,Altre specificate infezioni intestinali (+ possibile),cat 4,A08,1,008.8
