icd9_code,icd9_desc,icd10_code,icd10_desc
001.0,Colera da Vibrio cholerae,A00.0,"Colera da vibrio cholerae 01, biotipo del colera"
001.1,Colera da Vibrio cholerae el tor,A00.1,"Colera da vibrio cholerae 01, biotipo El Tor"
001.9,Colera non specificato,A00.9,"Colera, non specificato"
002.0,Febbre tifoide,A01.0,Febbre tifoide
002.1,Paratifo A,A01.1,Paratifo A
002.2,Paratifo B,A01.2,Paratifo B
002.3,Paratifo C,A01.3,Paratifo C
002.9,Paratifo non specificato,A01.4,"Paratifo, non specificato"
003.0,Gastroenterite da Salmonella,A02.0,Enterite da salmonella
003.1,Setticemia da Salmonella,A02.1,Sepsi da salmonella
003.20,"Infezioni localizzate da Salmonella, non specificate",A02.2,Infezioni localizzate da salmonella
003.29,Altre infezioni localizzate da Salmonella,A02.2,Infezioni localizzate da salmonella
003.8,Altre infezioni specifiche da Salmonella,A02.8,Altre specificate infezioni da salmonella
003.9,Infezioni da Salmonella non specificate,A02.9,"Infezione da salmonella, non specificata"
004.0,Shigella dysenteriae,A03.0,Shigellosi da Shigella dysenteriae
004.1,Shigella flexneri,A03.1,Shigellosi da Shigella flexneri
004.2,Shigella boydii,A03.2,Shigellosi da Shigella boydii
004.3,Shigella sonnei,A03.3,Shigellosi da Shigella sonnei
004.8,Altre infezioni specifiche da Shigella,A03.8,Altre shigellosi
004.9,Shigellosi non specificata,A03.9,"Shigellosi, non specificata"
008.01,Infezione intestinale da Escherichia coli enteropatogeno,A04.0,Infezione da Escherichia coli enteropatogeno
008.02,Infezione intestinale da Escherichia coli enterotossico,A04.1,Infezione da Escherichia coli enterotossigeno
008.03,Infezione intestinale da Escherichia coli enteroinvasiva,A04.2,Infezione da Escherichia coli enteroinvasivo
008.04,Infezione intestinale da Escherichia coli enteroemorragico,A04.3,Infezione da Escherichia coli enteroemorragico
008.00,Infezione intestinale da Escherichia coli non specificato,A04.4,Altre infezioni intestinali da Escherichia coli
008.09,Altre infezioni intestinali da Escherichia coli,A04.4,Altre infezioni intestinali da Escherichia coli
008.43,Infezione intestinale da Campylobacter,A04.5,Enterite da Campylobacter
008.44,Infezione intestinale da Yersinia enterocolitica,A04.6,Enterite da Yersinia enterocolitica
008.45,Infezione intestinale da Clostridium difficile,A04.7,Enterocolite da Clostridium difficile
008.41,Infezione intestinale da Stafilococco,A04.8,Altre specificate infezioni batteriche intestinali
008.42,Infezione intestinale da Pseudomonas,A04.8,Altre specificate infezioni batteriche intestinali
008.46,Infezione intestinale da altri anaerobi,A04.8,Altre specificate infezioni batteriche intestinali
008.49,Infezione intestinale da altri batteri specificati,A04.8,Altre specificate infezioni batteriche intestinali
008.2,Infezione intestinale da Aerobacter aerogenes,A04.8,Altre specificate infezioni batteriche intestinali
008.1,Infezione intestinale da bacilli paracolici del gruppo Arizona,A04.8,Altre specificate infezioni batteriche intestinali
008.3,Infezione intestinale da Proteus (mirabilis) (morganii),A04.8,Altre specificate infezioni batteriche intestinali
008.47,Infezione intestinale da altri batteri gram-negativi,A04.8,Altre specificate infezioni batteriche intestinali
008.5,Enterite batterica non specificata,A04.9,"Infezione batterica intestinale, non specificata"
005.0,Intossicazione alimentare da Stafilococco,A05.0,Intossicazione alimentare da stafilococco
005.1,Botulismo,A05.1,Botulismo
005.2,Intossicazione alimentare da Clostridium perfringens (C. welchii),A05.2,Intossicazione alimentare da Clostridium perfringens [Clostridium welchii]
005.4,Intossicazione alimentare da Vibrio parahaemolyticus,A05.3,Intossicazione alimentare da Vibrio parahaemolyticus
005.89,Altre intossicazioni alimentari batteriche,A05.4,Intossicazione alimentare da Bacillus cereus
005.3,Intossicazione alimentare da altri Clostridi,A05.8,Altre specificate intossicazioni alimentari batteriche
005.81,Intossicazione alimentare da Vibrio vulnificus,A05.8,Altre specificate intossicazioni alimentari batteriche
005.89,Altre intossicazioni alimentari batteriche,A05.8,Altre specificate intossicazioni alimentari batteriche
005.9,Intossicazione alimentare non specificata,A05.9,"Intossicazione alimentare batterica, non specificata"
006.0,Dissenteria amebica acuta senza menzione di ascesso,A06.0,Dissenteria amebica acuta
006.1,Amebiasi intestinale cronica senza menzione di ascesso,A06.1,Amebiasi intestinale cronica
006.2,Colite amebica non dissenterica,A06.2,Colite amebica non dissenterica
006.2,Colite amebica non dissenterica,A06.3,Ameboma dell’intestino
006.3,Ascesso amebico del fegato,A06.4†,Ascesso amebico del fegato (K77.0*)
006.4,Ascesso amebico del polmone,A06.5,Ascesso amebico del polmone
006.5,Ascesso amebico dell’encefalo,A06.6,Ascesso amebico dell’encefalo
006.6,Ulcera amebica della pelle,A06.7,Amebiasi cutanea
006.8,Infezione amebica di altre sedi,A06.8,Infezione amebica di altre sedi
006.9,Amebiasi non specificata,A06.9,"Amebiasi, non specificata"
007.0,Balantidiasi,A07.0,Balantidiasi
007.1,Giardiasi,A07.1,Giardiasi [lambliasi]
007.4,Criptosporidiosi,A07.2,Criptosporidiosi
007.2,Coccidiosi,A07.3,Isosporiasi
007.3,Tricomoniasi intestinale,A07.8,"Altre specificate malattie intestinali da protozoi
"
007.5,Ciclosporiasi,A07.8,"Altre specificate malattie intestinali da protozoi
"
136.5,Sarcosporidiosi,A07.8,"Altre specificate malattie intestinali da protozoi
"
007.8,Altre malattie intestinali da protozoi,A07.8,"Altre specificate malattie intestinali da protozoi
"
007.9,Malattia intestinale non specificata da protozoi,A07.9,"Malattia intestinale da protozoi, non specificata"
008.61,Enterite da Rotavirus,A08.0,Enterite da Rotavirus
008.63,Enterite da Norwalk virus,A08.1,Gastroenteropatia acuta da Norovirus
008.62,Enterite da Adenovirus,A08.2,Enterite da Adenovirus
008.64,Enterite da altri small round virus,A08.3,Altre enteriti virali
